ID,Name,Typ,Land,Am,MW
koe17,Kingsley Schindler,1,NA,NA,B
koe19,Dimitrios Limnios,1,NA,NA,B
koe20,Marvin Schwaebe,1,NA,NA,B
koe21,Steffen Tigges,1,NA,NA,B
koe23,Sargis Adamyan,1,NA,NA,B
koe24,Julian Chabot,1,NA,NA,A
koe25,Tim Lemperle,1,NA,NA,A
koe27,Davie Selke,1,NA,NA,F
koe28,Ellyes Skhiri,1,NA,NA,E
koe29,Jan Thielmann,1,NA,NA,D
koe33,Florian Dietz,1,NA,NA,A
koe37,Linton Mai,1,NA,NA,D
koe47,Mathias Olesen,1,NA,NA,A
koe48,Justin Diehl,1,NA,NA,A
fsv1,Finn Dahmen,1,NA,NA,A
fsv3,Aaron Martin,1,NA,NA,F
fsv4,Aymen Barkok,1,NA,NA,B
fsv5,Maxim Leitsch,1,NA,NA,B
fsv6,Anton Stach,1,NA,NA,E
fsv7,Jae Sung Lee,1,NA,NA,B
fsv8,Leandro Barreiro,1,NA,NA,E
fsv9,Karim Onisiwo,1,NA,NA,B
fsv11,Marcus Ingvartsen,1,NA,NA,B
fsv16,Stefan Bell,1,NA,NA,C
fsv17,Ludovic Ajourque,1,NA,NA,F
fsv19,Anthony Caci,1,NA,NA,C
fsv20,Edmilson Fernandes,1,NA,NA,D
fsv21,Danny da Costa,1,NA,NA,E
fsv25,Andreas Hanche Olsen,1,NA,NA,B
fsv27,Robin Zentner,1,NA,NA,B
fsv29,Jonathan Burkardt,1,NA,NA,F
fsv30,Silvan Widmer,1,NA,NA,D
fsv31,Dominik Kohr,1,NA,NA,D
fsv36,Marlon Mustapha,1,NA,NA,A
fsv37,Delano Burgzorg,1,NA,NA,A
fsv42,Alexander Hack,1,NA,NA,B
fsv43,Brajan Gruda,1,NA,NA,A
fsv44,Nelson Weiper,1,NA,NA,A
tsg1,Oliver Baumann,1,NA,NA,D
tsg3,Pavel Kaderabek,1,NA,NA,F
tsg4,Ermin Bicakcic,1,NA,NA,B
tsg5,Ozan Kabak,1,NA,NA,I
tsg6,Grischa Proemel,1,NA,NA,C
tsg7,Jacob Bruun Larsen,1,NA,NA,F
tsg8,Dennis Geiger,1,NA,NA,E
tsg9,Ihlas Bebou,1,NA,NA,F
tsg10,Munas Dabbur,1,NA,NA,E
tsg11,Angelino,1,NA,NA,I
tsg13,Angelo Stiller,1,NA,NA,C
tsg14,Christoph Baumgartner,1,NA,NA,G
tsg16,Sebastian Rudy,1,NA,NA,E
tsg17,Thomas Delaney,1,NA,NA,H
tsg19,Kasper Dolberg,1,NA,NA,G
tsg20,Finn Ole Becker,1,NA,NA,A
tsg22,Kevin Vogt,1,NA,NA,F
tsg23,John Anthony Brooks,1,NA,NA,E
tsg25,Kevin Akpoguma,1,NA,NA,E
tsg26,Eduardo Quaresma,1,NA,NA,C
tsg27,Andrej Kramaric,1,NA,NA,I
tsg29,Robert Skov,1,NA,NA,E
tsg34,Stanley Nsoki,1,NA,NA,E
tsg35,Muhammed Damar,1,NA,NA,A
tsg39,Tom Bischof,1,NA,NA,A
tsg40,Umut Tohumcu,1,NA,NA,A
tsg44,Fisnik Asllani,1,NA,NA,A
bsc1,Oliver Christensen,1,NA,NA,B
bsc2,Peter Pekarik,1,NA,NA,B
bsc3,Augustin Rogel,1,NA,NA,B
bsc5,Filip Uremovic,1,NA,NA,C
bsc6,Tolga Cigerci,1,NA,NA,B
bsc7,Florian Niederlechner,1,NA,NA,D
bsc8,Suat Serdar,1,NA,NA,G
bsc10,Jean Paul Boetius,1,NA,NA,C
bsc14,Dodi Lukebakio,1,NA,NA,G
bsc16,Jonjoe Kenny,1,NA,NA,E
bsc17,Maximilian Mittelstädt,1,NA,NA,E
bsc18,Wilfried Kanga,1,NA,NA,B
bsc19,Stefan Jovetic,1,NA,NA,H
bsc20,Marc Oliver Kempf,1,NA,NA,D
bsc21,Marvin Plattenhardt,1,NA,NA,F
bsc23,Marco Richter,1,NA,NA,D
bsc24,Jessic Ngankam,1,NA,NA,A
bsc27,Kevin Prince Boateng,1,NA,NA,G
bsc29,Lucas Tousart,1,NA,NA,G
bsc31,Marton Dardai,1,NA,NA,C
bsc34,Ivan Sunjic,1,NA,NA,C
bsc39,Derry Scherhant,1,NA,NA,A
bsc40,Chidera Ejuke,1,NA,NA,D
bsc42,Julian Eitschberger,1,NA,NA,A
fca1,Rafal Gikiewicz,1,NA,NA,A
fca2,Robert Gumny,1,NA,NA,B
fca3,Mads Pedersen,1,NA,NA,B
fca4,Reece Oxford,1,NA,NA,E
fca5,Tobias Strobl,1,NA,NA,D
fca6,Jeffrey Gouweleeuw,1,NA,NA,E
fca7,Dion Beljo,1,NA,NA,C
fca8,Renato Veiga,1,NA,NA,A
fca9,Ermedin Demirovic,1,NA,NA,E
fca10,Arne Maier,1,NA,NA,G
fca11,Mergim Berisha,1,NA,NA,D
fca13,Elvis Rexhbecaj,1,NA,NA,D
fca14,Julian Baumgartlinger,1,NA,NA,C
fca16,Ruben Vargas,1,NA,NA,E
fca17,Noah Sarenren Bazee,1,NA,NA,A
fca19,Felix Udokhai,1,NA,NA,F
fca20,Daniel Caligiuri,1,NA,NA,C
fca22,Iago,1,NA,NA,C
fca23,Maximilian Bauer,1,NA,NA,B
fca24,Fredrik Jensen,1,NA,NA,B
fca27,Arne Engels,1,NA,NA,A
fca28,Andre Hahn,1,NA,NA,D
fca30,Niklas Dorsch,1,NA,NA,D
fca38,David Colina,1,NA,NA,A
fca39,Benjamin Leneis,1,NA,NA,A
fca40,Tomas Koubek,1,NA,NA,C
fca42,Aaron Zehnter,1,NA,NA,A
fca45,Kelvin Yeboah,1,NA,NA,C
fca48,Irvin Cardona,1,NA,NA,D
vfb1,Florian Mueller,1,NA,NA,D
vfb2,Waldemar Anton,1,NA,NA,E
vfb3,Wataru Endo,1,NA,NA,D
vfb4,Josha Vagnoman,1,NA,NA,B
vfb5,Konstantinos Mavropanos,1,NA,NA,F
vfb7,Tanguy Coulibaly,1,NA,NA,C
vfb8,Enzo Millot,1,NA,NA,A
vfb9,Serhou Guirassy,1,NA,NA,E
vfb10,Tiago Tomas,1,NA,NA,C
vfb11,Juan Jose Perea,1,NA,NA,A
vfb14,Silas Katompa Mvumpa,1,NA,NA,G
vfb15,Pascal Stenzel,1,NA,NA,C
vfb16,Atakan Karazor,1,NA,NA,B
vfb17,Genki Haraguchi,1,NA,NA,B
